,Algorithm,Codebook Size,Cluster Purity
0,Flag Median,4,0.42098214285714286
1,L2 Median,4,0.3296205357142857
2,Flag Mean,4,0.42098214285714286
3,Flag Median,4,0.3797979797979798
4,L2 Median,4,0.51765898420828
5,Flag Mean,4,0.37242169595110763
6,Flag Median,4,0.36488835456995833
7,L2 Median,4,0.33995114324799686
8,Flag Mean,4,0.36488835456995833
9,Flag Median,4,0.4379905987586711
10,L2 Median,4,0.34714234911603337
11,Flag Mean,4,0.4419642857142857
12,Flag Median,4,0.39550703128289333
13,L2 Median,4,0.3809392987964416
14,Flag Mean,4,0.39550703128289333
15,Flag Median,4,0.2857298951048951
16,L2 Median,4,0.35956221198156685
17,Flag Mean,4,0.2857298951048951
18,Flag Median,4,0.4063525550867323
19,L2 Median,4,0.40236463903743314
20,Flag Mean,4,0.41289983164983163
21,Flag Median,4,0.4766624040920716
22,L2 Median,4,0.4914434523809524
23,Flag Mean,4,0.4776021080368906
24,Flag Median,4,0.419047619047619
25,L2 Median,4,0.4135220125786163
26,Flag Mean,4,0.419047619047619
27,Flag Median,4,0.2994414979106397
28,L2 Median,4,0.41130472041705346
29,Flag Mean,4,0.2994414979106397
30,Flag Median,4,0.3150489861016177
31,L2 Median,4,0.38800366300366296
32,Flag Mean,4,0.3150489861016177
33,Flag Median,4,0.354937106918239
34,L2 Median,4,0.4074108015640274
35,Flag Mean,4,0.354937106918239
36,Flag Median,4,0.4061740869709406
37,L2 Median,4,0.3878017335966645
38,Flag Mean,4,0.4070236680530799
39,Flag Median,4,0.3995071193866375
40,L2 Median,4,0.41631231671554253
41,Flag Mean,4,0.3995071193866375
42,Flag Median,4,0.37849146167459075
43,L2 Median,4,0.38839948492652626
44,Flag Mean,4,0.37849146167459075
45,Flag Median,4,0.3436458333333333
46,L2 Median,4,0.3374505928853755
47,Flag Mean,4,0.3446394686907021
48,Flag Median,4,0.4092094883930584
49,L2 Median,4,0.40016974071103983
50,Flag Mean,4,0.41179792429792433
51,Flag Median,4,0.3930240191535372
52,L2 Median,4,0.3665948275862069
53,Flag Mean,4,0.3930240191535372
54,Flag Median,4,0.3457547169811321
55,L2 Median,4,0.32338252832438874
56,Flag Mean,4,0.3457547169811321
57,Flag Median,4,0.3476190476190476
58,L2 Median,4,0.327400153609831
59,Flag Mean,4,0.3476190476190476
60,Flag Median,8,0.5638539626376866
61,L2 Median,8,0.47324244383067915
62,Flag Mean,8,0.51914684902301
63,Flag Median,8,0.5031277166038829
64,L2 Median,8,0.4642883681715517
65,Flag Mean,8,0.4276927349189013
66,Flag Median,8,0.5898730163412188
67,L2 Median,8,0.41158374021545374
68,Flag Mean,8,0.47320634967455216
69,Flag Median,8,0.5434895833333333
70,L2 Median,8,0.462605640546817
71,Flag Mean,8,0.5654569892473119
72,Flag Median,8,0.48623361766744116
73,L2 Median,8,0.46397503980224564
74,Flag Mean,8,0.4284684661522897
75,Flag Median,8,0.34989015767597365
76,L2 Median,8,0.3734842992799836
77,Flag Mean,8,0.34989015767597365
78,Flag Median,8,0.46895108375944616
79,L2 Median,8,0.4453744250736732
80,Flag Mean,8,0.46895108375944616
81,Flag Median,8,0.5249115317050099
82,L2 Median,8,0.5163975155279503
83,Flag Mean,8,0.5249115317050099
84,Flag Median,8,0.46334541062801926
85,L2 Median,8,0.4609468984962406
86,Flag Mean,8,0.46334541062801926
87,Flag Median,8,0.46788048552754435
88,L2 Median,8,0.4052450525664812
89,Flag Mean,8,0.3982581538362472
90,Flag Median,8,0.5427308802308802
91,L2 Median,8,0.49226053639846745
92,Flag Mean,8,0.4807299365607292
93,Flag Median,8,0.5022194351542177
94,L2 Median,8,0.40907694962042795
95,Flag Mean,8,0.5022194351542177
96,Flag Median,8,0.49548208640674396
97,L2 Median,8,0.49040026065888137
98,Flag Mean,8,0.49548208640674396
99,Flag Median,8,0.4984382700448601
100,L2 Median,8,0.4121311342873312
101,Flag Mean,8,0.43739660337819336
102,Flag Median,8,0.418844696969697
103,L2 Median,8,0.41739639037433157
104,Flag Mean,8,0.418844696969697
105,Flag Median,8,0.6046626984126984
106,L2 Median,8,0.5219907407407407
107,Flag Mean,8,0.617271505376344
108,Flag Median,8,0.41344233746130027
109,L2 Median,8,0.37690893665158376
110,Flag Mean,8,0.41344233746130027
111,Flag Median,8,0.5761742424242424
112,L2 Median,8,0.4467250141163185
113,Flag Mean,8,0.4350834879406308
114,Flag Median,8,0.6380496513720197
115,L2 Median,8,0.39115847920195745
116,Flag Mean,8,0.5094037176274019
117,Flag Median,8,0.40814499510151686
118,L2 Median,8,0.38944662793347
119,Flag Mean,8,0.40480283605283607
120,Flag Median,12,0.5567987567987568
121,L2 Median,12,0.5311437908496732
122,Flag Mean,12,0.49394965699778537
123,Flag Median,12,0.5546090483590483
124,L2 Median,12,0.587899593598123
125,Flag Mean,12,0.5546090483590483
126,Flag Median,12,0.6515575927340633
127,L2 Median,12,0.5294770865335381
128,Flag Mean,12,0.5576636904761905
129,Flag Median,12,0.6166541541541541
130,L2 Median,12,0.565521978021978
131,Flag Mean,12,0.577748948582282
132,Flag Median,12,0.48029729773150814
133,L2 Median,12,0.4868832556332556
134,Flag Mean,12,0.4762724337066442
135,Flag Median,12,0.47654660154660156
136,L2 Median,12,0.46138447971781305
137,Flag Mean,12,0.4359055759055759
138,Flag Median,12,0.6526883204514783
139,L2 Median,12,0.5067669401383867
140,Flag Mean,12,0.5757811367261129
141,Flag Median,12,0.5134075861348589
142,L2 Median,12,0.5451319921908158
143,Flag Mean,12,0.527425100152373
144,Flag Median,12,0.6644083255925362
145,L2 Median,12,0.5312095288565876
146,Flag Mean,12,0.5560985797827903
147,Flag Median,12,0.5070048309178744
148,L2 Median,12,0.4740987933634992
149,Flag Mean,12,0.46882516188714146
150,Flag Median,12,0.5249040693014478
151,L2 Median,12,0.5028771228771229
152,Flag Mean,12,0.5249040693014478
153,Flag Median,12,0.5595973383257865
154,L2 Median,12,0.47147573139420956
155,Flag Mean,12,0.49159087859269013
156,Flag Median,12,0.6326233271086211
157,L2 Median,12,0.5639984077484077
158,Flag Mean,12,0.6091691165385195
159,Flag Median,12,0.6070045695045695
160,L2 Median,12,0.5018474078256686
161,Flag Mean,12,0.512560125060125
162,Flag Median,12,0.6920114607614608
163,L2 Median,12,0.5158531746031746
164,Flag Mean,12,0.5661830166067455
165,Flag Median,12,0.6910995090126445
166,L2 Median,12,0.6279934437543133
167,Flag Mean,12,0.6529821402702759
168,Flag Median,12,0.45654246938831916
169,L2 Median,12,0.44938439177569606
170,Flag Mean,12,0.45654246938831916
171,Flag Median,12,0.5787574998101314
172,L2 Median,12,0.4590355679751965
173,Flag Mean,12,0.4778688452468941
174,Flag Median,12,0.6576388888888889
175,L2 Median,12,0.45781625781625784
176,Flag Mean,12,0.573066000783392
177,Flag Median,12,0.5873811917929566
178,L2 Median,12,0.504452614379085
179,Flag Mean,12,0.5074683377624555
180,Flag Median,16,0.7140013495276653
181,L2 Median,16,0.5259464207290294
182,Flag Mean,16,0.5668234981392876
183,Flag Median,16,0.619310224089636
184,L2 Median,16,0.5770585317460317
185,Flag Mean,16,0.5403380102040817
186,Flag Median,16,0.7691479329637224
187,L2 Median,16,0.5593873572820941
188,Flag Mean,16,0.5813428206531656
189,Flag Median,16,0.6163310809273542
190,L2 Median,16,0.5284509141652
191,Flag Mean,16,0.605787632778864
192,Flag Median,16,0.5349760207113147
193,L2 Median,16,0.5000185512801611
194,Flag Mean,16,0.4969127796045954
195,Flag Median,16,0.5739712732919254
196,L2 Median,16,0.5143105158730159
197,Flag Mean,16,0.5333107864357866
198,Flag Median,16,0.6194343891402716
199,L2 Median,16,0.5660052447552447
200,Flag Mean,16,0.5595405982905982
201,Flag Median,16,0.5889816569126914
202,L2 Median,16,0.5763893472615583
203,Flag Mean,16,0.5854463033773379
204,Flag Median,16,0.722482638888889
205,L2 Median,16,0.6405476774042951
206,Flag Mean,16,0.6614130434782609
207,Flag Median,16,0.6728316326530612
208,L2 Median,16,0.5270343880257673
209,Flag Mean,16,0.4849293563579278
210,Flag Median,16,0.5987301587301589
211,L2 Median,16,0.47805848145709895
212,Flag Mean,16,0.6001154401154402
213,Flag Median,16,0.6279800928238428
214,L2 Median,16,0.46322150072150065
215,Flag Mean,16,0.533615395021645
216,Flag Median,16,0.7050756213502349
217,L2 Median,16,0.5793116379343065
218,Flag Mean,16,0.6292275432900434
219,Flag Median,16,0.6737733137733137
220,L2 Median,16,0.5198240321769734
221,Flag Mean,16,0.5603355903355904
222,Flag Median,16,0.6772073412698414
223,L2 Median,16,0.5407715089240825
224,Flag Mean,16,0.5407392123516073
225,Flag Median,16,0.7298067886061306
226,L2 Median,16,0.7501628885820063
227,Flag Mean,16,0.7467642027783536
228,Flag Median,16,0.5220236680530798
229,L2 Median,16,0.4110016835016834
230,Flag Mean,16,0.44453703703703695
231,Flag Median,16,0.6327295362589479
232,L2 Median,16,0.47510112647209424
233,Flag Mean,16,0.47510112647209424
234,Flag Median,16,0.7224783510965361
235,L2 Median,16,0.5117328612479475
236,Flag Mean,16,0.5665364583333333
237,Flag Median,16,0.6458620509607352
238,L2 Median,16,0.5060135969103361
239,Flag Mean,16,0.5343368437118436
240,Flag Median,20,0.74239417989418
241,L2 Median,20,0.6120849297573435
242,Flag Mean,20,0.6511303511303511
243,Flag Median,20,0.7311760461760463
244,L2 Median,20,0.559801662600524
245,Flag Mean,20,0.5776190476190477
246,Flag Median,20,0.7612625313283209
247,L2 Median,20,0.5491573135737896
248,Flag Mean,20,0.6114741983163036
249,Flag Median,20,0.7183197666531
250,L2 Median,20,0.5924707529592587
251,Flag Mean,20,0.6483247743541861
252,Flag Median,20,0.5877641965877262
253,L2 Median,20,0.4939309056956115
254,Flag Mean,20,0.4939309056956115
255,Flag Median,20,0.6935218253968254
256,L2 Median,20,0.5877060439560441
257,Flag Mean,20,0.6248114587025879
258,Flag Median,20,0.7211266188413002
259,L2 Median,20,0.5336038961038961
260,Flag Mean,20,0.5874686198540188
261,Flag Median,20,0.7019129992814203
262,L2 Median,20,0.617085020242915
263,Flag Mean,20,0.6256974604343025
264,Flag Median,20,0.7970513784461153
265,L2 Median,20,0.6860364145658263
266,Flag Mean,20,0.7226797385620916
267,Flag Median,20,0.7237375290262774
268,L2 Median,20,0.5447897258450891
269,Flag Mean,20,0.5525259054670819
270,Flag Median,20,0.6542701450596187
271,L2 Median,20,0.6111705889569666
272,Flag Mean,20,0.6399786230281586
273,Flag Median,20,0.6508202323991799
274,L2 Median,20,0.5555764411027568
275,Flag Mean,20,0.5489348370927318
276,Flag Median,20,0.7686728132548567
277,L2 Median,20,0.6301680926454067
278,Flag Mean,20,0.6639496468443837
279,Flag Median,20,0.6441410765972169
280,L2 Median,20,0.5422671261487051
281,Flag Mean,20,0.5452143089204493
282,Flag Median,20,0.6899225012886827
283,L2 Median,20,0.48465281144509087
284,Flag Mean,20,0.5748157157599881
285,Flag Median,20,0.7689461233211233
286,L2 Median,20,0.6403896103896104
287,Flag Mean,20,0.7189804639804639
288,Flag Median,20,0.7140513228613917
289,L2 Median,20,0.4826960076960077
290,Flag Mean,20,0.5223424723424723
291,Flag Median,20,0.715133140769813
292,L2 Median,20,0.5068508987368817
293,Flag Mean,20,0.5919236017708004
294,Flag Median,20,0.7486069284617379
295,L2 Median,20,0.6142837330480351
296,Flag Mean,20,0.6289196183933027
297,Flag Median,20,0.6696789321789323
298,L2 Median,20,0.5546500721500721
299,Flag Mean,20,0.5732329598506068
