,Algorithm,Codebook Size,Cluster Purity
0,Flag Median,4,0.419047619047619
1,Flag Mean,4,0.36306179775280895
2,Flag Median,4,0.42777545035609554
3,Flag Mean,4,0.5026656314699793
4,Flag Median,4,0.591991341991342
5,Flag Mean,4,0.5094417077175698
6,Flag Median,4,0.46225490196078434
7,Flag Mean,4,0.4026942355889724
8,Flag Median,4,0.6076923076923076
9,Flag Mean,4,0.4894920480363518
10,Flag Median,4,0.5097608958837772
11,Flag Mean,4,0.5097608958837772
12,Flag Median,4,0.6240061162079511
13,Flag Mean,4,0.584920634920635
14,Flag Median,4,0.5360791826309067
15,Flag Mean,4,0.5515350877192983
16,Flag Median,4,0.35825652841781874
17,Flag Mean,4,0.30176767676767674
18,Flag Median,4,0.5147058823529412
19,Flag Mean,4,0.49440543071161047
20,Flag Median,8,0.46144907723855094
21,Flag Mean,8,0.4635467980295566
22,Flag Median,8,0.6114381520119224
23,Flag Mean,8,0.6012641723356009
24,Flag Median,8,0.5871506211180124
25,Flag Mean,8,0.5549279251433068
26,Flag Median,8,0.5693763326226012
27,Flag Mean,8,0.5092069892473118
28,Flag Median,8,0.49507575757575756
29,Flag Mean,8,0.4910427807486631
30,Flag Median,8,0.6138932022084195
31,Flag Mean,8,0.600654533844189
32,Flag Median,8,0.7086350552946523
33,Flag Mean,8,0.6949138699138698
34,Flag Median,8,0.5034722222222222
35,Flag Mean,8,0.5031906041986687
36,Flag Median,8,0.4996886235233693
37,Flag Mean,8,0.47647569444444443
38,Flag Median,8,0.524754986740459
39,Flag Mean,8,0.48130797773654915
40,Flag Median,12,0.547795424914069
41,Flag Mean,12,0.5666992505702182
42,Flag Median,12,0.700125313283208
43,Flag Mean,12,0.7112747163240085
44,Flag Median,12,0.6718379446640316
45,Flag Mean,12,0.6701004117977156
46,Flag Median,12,0.585488775220233
47,Flag Mean,12,0.5403380207301776
48,Flag Median,12,0.748996723996724
49,Flag Mean,12,0.7008102112940823
50,Flag Median,12,0.6194970776772247
51,Flag Mean,12,0.6120791245791245
52,Flag Median,12,0.7168189834856501
53,Flag Mean,12,0.6853809352918404
54,Flag Median,12,0.638095238095238
55,Flag Mean,12,0.6468154394624983
56,Flag Median,12,0.656799063711506
57,Flag Mean,12,0.6188550420168066
58,Flag Median,12,0.4715551745703134
59,Flag Mean,12,0.4631624649859944
60,Flag Median,16,0.5983917340521115
61,Flag Mean,16,0.6198668714797747
62,Flag Median,16,0.6902529761904762
63,Flag Mean,16,0.698649093961594
64,Flag Median,16,0.6924237405106971
65,Flag Mean,16,0.6562141481706699
66,Flag Median,16,0.666068376068376
67,Flag Mean,16,0.6042250506440393
68,Flag Median,16,0.7549719887955184
69,Flag Mean,16,0.7275497543930723
70,Flag Median,16,0.6633669772256728
71,Flag Mean,16,0.661954365079365
72,Flag Median,16,0.7453524492234168
73,Flag Mean,16,0.7096498599439776
74,Flag Median,16,0.6799907599907601
75,Flag Mean,16,0.6823596176821983
76,Flag Median,16,0.6833147321428571
77,Flag Mean,16,0.6752928601223581
78,Flag Median,16,0.572011689291101
79,Flag Mean,16,0.5958804185018759
80,Flag Median,20,0.6528870485392225
81,Flag Mean,20,0.6655924428912935
82,Flag Median,20,0.7582720588235295
83,Flag Mean,20,0.7313595583160801
84,Flag Median,20,0.6928332978194472
85,Flag Mean,20,0.6801772788614894
86,Flag Median,20,0.7053035401803742
87,Flag Mean,20,0.68160552897395
88,Flag Median,20,0.7392403767403767
89,Flag Mean,20,0.7287432523616734
90,Flag Median,20,0.7062307692307692
91,Flag Mean,20,0.7078431372549019
92,Flag Median,20,0.7619883040935672
93,Flag Mean,20,0.7147966069018701
94,Flag Median,20,0.67744708994709
95,Flag Mean,20,0.6551806005828995
96,Flag Median,20,0.7234821428571429
97,Flag Mean,20,0.7214814814814814
98,Flag Median,20,0.6284767939433837
99,Flag Mean,20,0.6556186138422981
